sku,produto,categoria,colecao,custo_unitario,preco_venda,margem_unitaria_rs,margem_pct
TX010,Casaco Lã Blend,Casacos,Inverno 2025,92.0,219.9,127.9,58.16
TX007,Jaqueta Jeans Classic,Jaquetas,Outono 2025,70.0,159.9,89.9,56.22
TX012,Calça Térmica Flex,Calças,Inverno 2025,58.0,139.9,81.9,58.54
TX011,Blusa Tricô Cozy,Tricôs,Inverno 2025,50.0,129.9,79.9,61.51
TX004,Vestido Midi Floral,Vestidos,Primavera 2025,48.0,119.9,71.9,59.97
TX008,Calça Sarja Slim,Calças,Outono 2025,52.0,119.9,67.9,56.63
TX009,Moletom Essential,Moletons,Outono 2025,45.0,109.9,64.9,59.05
TX014,Calça Jeans Reta,Calças,Linha Contínua,46.0,104.9,58.9,56.15
TX005,Camisa Linho Office,Camisas,Primavera 2025,42.0,99.9,57.9,57.96
TX006,Saia Plissada Soft,Saias,Primavera 2025,38.5,89.9,51.4,57.17
TX003,Shorts Jeans Urban,Shorts,Verão 2025,35.0,79.9,44.9,56.2
TX013,Polo Casual Fit,Polos,Linha Contínua,28.0,64.9,36.9,56.86
TX015,Camiseta Oversized Trend,Camisetas,Linha Contínua,26.0,59.9,33.9,56.59
TX001,Camiseta Básica Premium,Camisetas,Verão 2025,22.5,49.9,27.4,54.91
TX002,Regata Canelada,Regatas,Verão 2025,18.0,44.9,26.9,59.91
