sku,quantidade_vendida,quantidade_devolvida,produto,taxa_devolucao_pct
TX008,1386,69,Calça Sarja Slim,4.98
TX014,1514,75,Calça Jeans Reta,4.95
TX012,773,37,Calça Térmica Flex,4.79
TX004,1129,53,Vestido Midi Floral,4.69
TX010,667,29,Casaco Lã Blend,4.35
TX003,1505,60,Shorts Jeans Urban,3.99
TX009,1262,47,Moletom Essential,3.72
TX005,1286,47,Camisa Linho Office,3.65
TX006,1042,38,Saia Plissada Soft,3.65
TX007,959,35,Jaqueta Jeans Classic,3.65
TX002,1940,70,Regata Canelada,3.61
TX011,983,35,Blusa Tricô Cozy,3.56
TX001,2672,59,Camiseta Básica Premium,2.21
TX015,2115,44,Camiseta Oversized Trend,2.08
TX013,1855,35,Polo Casual Fit,1.89
